[2020-02-08 23:04] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:06] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:15] [Weapon Hacks] Teste_Teste (3 times) - AK-47 (85 ammo, expected 0)
[2020-02-08 23:15] [Weapon Hacks] Teste_Teste (4 times) - AK-47 (87 ammo, expected 0)
[2020-02-08 23:16] [Weapon Hacks] Teste_Teste (5 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:16] [Weapon Hacks] Teste_Teste (6 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:22] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:40] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:40] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:44] [Weapon Hacks] Teste_Teste (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:50] [Weapon Hacks] Teste_Teste (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:52] [Weapon Hacks] Teste_Teste (5 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:54] [Weapon Hacks] Teste_Teste (6 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:54] [Weapon Hacks] Teste_Teste (7 times) - AK-47 (79 ammo, expected 0)
[2020-02-08 23:55] [Weapon Hacks] Teste_Teste (8 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:57] [Weapon Hacks] Teste_Teste (9 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:58] [Weapon Hacks] Teste_Teste (10 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:59] [Weapon Hacks] Teste_Teste (11 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 23:59] [Weapon Hacks] Teste_Teste (12 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:00] [Weapon Hacks] Teste_Teste (13 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:00] [Weapon Hacks] Teste_Teste (14 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:01] [Weapon Hacks] Teste_Teste (15 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:02] [Weapon Hacks] Teste_Teste (16 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:04] [Weapon Hacks] Teste_Teste (17 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:05] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:06] [Weapon Hacks] Teste_Teste (18 times) - AK-47 (82 ammo, expected 0)
[2020-02-09 00:07] [Weapon Hacks] Teste_Teste (19 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:09] [Weapon Hacks] Teste_Teste (20 times) - AK-47 (86 ammo, expected 0)
[2020-02-09 00:10] [Weapon Hacks] Konaly_Brabo (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:11] [Weapon Hacks] Teste_Teste (21 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:12] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:15] [Weapon Hacks] Konaly_Brabo (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:15] [Weapon Hacks] Teste_Teste (22 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:15] [Weapon Hacks] Teste_Teste (23 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:17] [Weapon Hacks] Teste_Teste (24 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:17] [Weapon Hacks] Teste_Teste (25 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:20] [Weapon Hacks] Teste_Teste (26 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:23] [Weapon Hacks] Teste_Teste (27 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:42] [Weapon Hacks] Teste_Teste (28 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:43] [Weapon Hacks] Teste_Teste (29 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:45] [Weapon Hacks] Teste_Teste (30 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:47] [Weapon Hacks] Teste_Teste (31 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:48] [Weapon Hacks] Teste_Teste (32 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:49] [Weapon Hacks] Teste_Teste (33 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:49] [Weapon Hacks] Teste_Teste (34 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:50] [Weapon Hacks] Teste_Teste (35 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:51] [Weapon Hacks] Teste_Teste (36 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:51] [Weapon Hacks] Teste_Teste (37 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:52] [Weapon Hacks] Teste_Teste (38 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:57] [Weapon Hacks] Teste_Teste (39 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 00:59] [Weapon Hacks] Teste_Teste (40 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:00] [Weapon Hacks] Teste_Teste (41 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:05] [Weapon Hacks] Teste_Teste (42 times) - Colt 45 (30 ammo, expected 0)
[2020-02-09 01:33] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (80 ammo, expected 0)
